code_no,title,source_type,primary_place,lat,lng,all_places,summary_hint,api_category,api_category2,api_tags,narrative_type,primary_category,representative_category,core_topics,entities,spaces,moods,functions
C_M_017,널갯당 오일본향,legend,판포리,33.3583661,126.2127584,판포리 | 한경면,널갯당 오일본향 본풀이는 한경면 판포리 본향당의 내력을 담은 신화이다. 아내가 임신 중 돼지고기 금기를 어긴 것을 이유로 부부가 살림을 갈라 바람 위와 아래 따로 좌정하고 여신은 돼지고기를 받는 신이 된다.,신화,MYTH2.002,"돼지고기,돼지털,바람,널개,판포리,널갯당,오일본당,축일본향,정씨하르방,짐씨할망",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사 | 생활민담·교훈담,신 | 인간 | 동물 | 마을신,당/사당 | 마을,신성 | 경외 | 익살 | 따뜻함 | 신비,장소 신성화 | 인물 전승 | 공동체 기억 | 금기 설명
C_M_018,눈미 불돗당본풀이,legend,와산리,33.4802497,126.6843061,와산리 | 조천읍,눈미 불돗당본풀이는 조천읍 와산리 불돗당의 내력을 담은 신화이다.,신화,MYTH2.002,"본풀이,귀양,눈미,삼승할망본풀이,불돗당,미륵돌,불도맞이,포태,불돗당본풀이,옥황상제말잣딸,왕돌,불도삼승또,치병,산육,일뤳당",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 가족·인간사 서사,신 | 왕/관원/선비 | 인간,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_019,눈미 양씨아미본풀이,legend,와산리,33.4802497,126.6843061,와산리 | 조천읍,눈미 양씨아미본풀이는 조천읍 와산리 양씨 집안에서 조상신을 모시게 된 내력을 담은,신화,MYTH2.003,"본풀이,고전적,날핏내,양씨아미,눈미,양씨아미본풀이,서천꽃밭,와산리,허벅장단,전새남굿,개고기,당새미",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승,신 | 동물 | 조상신,당/사당 | 마을 | 산/오름,신성 | 경외 | 따뜻함 | 신비,공동체 기억 | 인물 전승
C_M_020,당나미문씨아기당본풀이,legend,한라산,33.3616666,126.5291666,표선면 | 정의현 | 한라산 | 가시리,당나미문씨아기당본풀이는 표선면 가시리 당나미문씨아기당의 내력을 담은 신화이다.,신화,MYTH2.002,"본풀이,가시리,원님,정의현,산신백관,호근리,당나미문씨아기당,당나미문씨아기당본풀이,허포수,강통인,연주청,오물떡,당남우영,초근목피,문씨아기씨,인상식,문씨영감,인궤",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 지명·지형 유래,신 | 인간,산/오름 | 한라산 권역 | 당/사당,신성 | 경외 | 따뜻함 | 신비,인물 전승 | 공동체 기억 | 기원 설명 | 장소 신성화
C_M_021,도두본향 오름허릿당,legend,한라산,33.3616666,126.5291666,삼도동 | 도두동 | 한라산 | 제주시,도두본향 오름허릿당 본풀이는 제주시 도두동 도두오름에 있는 도두본향의 내력을 담은 신화이다. 한라산에서 태어난 삼형제 가운데 큰형이 부모에게 불효하여 쫓겨난 뒤에 도두오름으로 가서 송씨할마님과 혼인하여 당신이 되었는...,신화,MYTH2.002,"한라산,어부,삼형제,잠수,불효,산신,도두본향,오름허릿당,도들봉,송씨할머님,허물,도두동,도두오름",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 지명·지형 유래 | 가족·인간사 서사 | 해양·어촌 전승 | 마을 공동체 전승,신 | 마을신,산/오름 | 바다 | 한라산 권역 | 당/사당,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 기원 설명
C_M_022,동복본향당본풀이,legend,동복리,33.5359923,126.7190983,동복리 | 구좌읍,동복본향당본풀이는 구좌읍 동복리 본향당의 내력을 담은 신화이다. 굴묵밭 할망은 심방으로 살다가 죽어 저승으로 갔으나 이승에서 하던 일을 대신할 존재 가 없다는 이유로 다시 이승으로 돌아와 송악산에서 솟아나 상여화단을...,신화,MYTH2.002,"본풀이,동복본향당본풀이,동복본향당,넋들임,동복리,천기,상여화단,최판관,송씨하르바님,굴묵밭할망",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 초자연 존재담,신 | 마을신 | 심방 | 혼령/귀신,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_023,동복본향당본풀이1,legend,동복리,33.5359923,126.7190983,동복리 | 김녕리 | 구좌읍,동복본향당본풀이는 구좌읍 동복리 본향당의 내력을 담은 신화이다.,신화,MYTH2.002,"본풀이,김녕리,돼지고기,동복본향당본풀이,동복본향당,듬북,시왕맞이,동복리,액막이,상여화단,비바람,이주,해초,상여하르바님,상여할마님,굴묵밭",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승,신 | 마을신 | 왕/관원/선비,당/사당 | 마을,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_024,두리빌렛당 두리빌레 용해부인 할마님,legend,김녕리,33.5389636,126.7494481,김녕리 | 제주시,"두리빌렛당 두리빌레 용해부인 할마님 본풀이는 제주시 내도동 바닷가에 있는 두리빌렛 당의 내력을 담은 신화이다. 백동지, 김동지는 사신을 제치한 이형상 목사를 무사히 바다 건너에 태워주고 귀향하던 중 파선의 위기를 만...",신화,MYTH2.002,"구렁이,이형상,김동지,두리빌레,두리빌렛당,용해부인,할마님,내도동,백동지,궤눼기,사신,난파,용녀부인",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 해양·어촌 전승,신 | 동물 | 왕/관원/선비,바다 | 당/사당 | 마을 | 해안 마을,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_026,마라도본향 애기씨,legend,마라도,33.1206371,126.2671204,대정읍 | 마라도,마라도본향 애기씨 본풀이는 마라동 아기업게당의 내력을 담은 신화이다.,신화,MYTH2.002,"해녀,마라도,물질,산신대왕,일뤠중저,아기업게당,마라도본향,애기씨,대정읍상모리,알드르,업저지",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 해양·어촌 전승 | 마을 공동체 전승,신 | 왕/관원/선비 | 인간,바다 | 산/오름 | 당/사당 | 섬,경외 | 신성 | 따뜻함 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_027,명월본향 축일당,legend,명월리,33.379419,126.2756824,명월리 | 한림읍,명월본향 축일당 본풀이는 한림읍 명월리 축일당의 내력을 담은 신화이다. 최주국 아들과 정좌수 따님이 혼인을 하여 낳은 자식들이 인근 여러 마을로 흩어져 당 신이 되었다.,신화,MYTH2.002,"사냥,정좌수따님,마상총,명월본향,축일당,최주국아들",무속신화,무속신화·신격 전승,가족·인간사 서사,무속신화·신격 전승 | 가족·인간사 서사 | 마을 공동체 전승,신 | 인간,당/사당 | 마을,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_030,부대각본,legend,하도리,33.5163279,126.8833403,제주성 | 하도리 | 평대리 | 구좌읍,부대각본은 구좌읍 평대리 일대에서 부대각이라는 인물이 조상신으로 모셔지게 된 내력 을 담은 신화이다. 날개 달린 아기장수로 태어난 부대각은 장수의 위엄을 보였으나 집안 사람들의 방해로 능력을 펼치지 못하게 되자 스스...,신화,MYTH2.003,"장사,날개,아기장수,하도리,겨드랑이,제주성,남산,한양,수진포,부대각본,국마,천금상",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승,신 | 인간 | 동물 | 조상신,마을 | 산/오름,경외 | 따뜻함 | 신성 | 신비,공동체 기억 | 인물 전승
C_M_031,비매닛당 비매닛할망당,legend,애월읍,33.4110784,126.3939276,애월읍,"비매닛당 비매닛할망당 본풀이는 애월읍 어음1리 비매니 마을 할망당의 내력을 담은 신화이다. 비매닛할망은 목이 말라 돼지발자국에 고인 물을 마셨는데, 남편이 부정하다며 따로 좌 정하게 하였다.",신화,MYTH2.002,"바람,산신백관,날핏내,돼지발자국,비매닛당,비매닛할망당,비매닛할망,할으방(하르방)",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 가족·인간사 서사 | 생활민담·교훈담,신 | 인간,산/오름 | 당/사당 | 마을,경외 | 신성 | 익살 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_032,사계본향 큰물당,legend,한라산,33.3616666,126.5291666,사계리 | 한라산 | 안덕면,사계본향 큰물당본풀이는 안덕면 사계리 본향당인 큰물당의 내력을 담은 신화이다. 큰물당 하르방은 큰물에 논을 만들어 부자로 살다가 중을 만나 귀천을 깨닫고 주민들에 게 논을 나누어 주었다.,신화,MYTH2.002,"산방산,사계리,키,산신,산돼지,시주,큰물당,나막신,무위이화,당신,사계본향 큰물당,아흔아홉곱,수해,벼",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래 | 생활민담·교훈담,신 | 마을신 | 인간,산/오름 | 당/사당 | 한라산 권역,신성 | 경외 | 익살 | 신비,인물 전승 | 장소 신성화 | 공동체 기억 | 기원 설명
C_M_034,삼달본향당본풀이,legend,삼달리,33.3854117,126.8354134,성산읍 | 삼달리,삼달본향당본풀이는 성산읍 삼달리 본향당의 내력을 담은 신화이다.,신화,MYTH2.002,"본풀이,서울,황소,삼달본향당,황정승,백정,흉년,김씨영감,통정대부,삼달본향당본풀이,어매장군,세아들,황서국서",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사,신 | 마을신 | 인간,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_037,상가본향 새당 할으방당,legend,애월읍,33.4110784,126.3939276,애월읍,상가본향 새당 할으방당 본풀이는 애월읍 상가리와 하가리에서 모시는 새당 할으방당의 내력을 담은 신화이다. 상가리 새당은 초록동이라는 사람이 산신백관을 인도하여 당신으로 좌정하게 하여 이루 어졌다.,신화,MYTH2.002,"돼지고기,하가리,하마,산신백관,상가리,정동줄,수수범벅,흉험,할으방당,새당,상가본향,초록동이,갈체,무쇠활,큰신머들",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승,신 | 마을신 | 인간,산/오름 | 당/사당 | 마을,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_038,서귀본향당본푸리,legend,한라산,33.3616666,126.5291666,서귀포시 | 한라산,서귀본향당본푸리는 서귀포시 서귀・동홍본향당의 내력을 담은 신화이다. 바람운님이 고산국과 혼인하였다가 미모가 뛰어난 지산국과 사랑에 빠져 도망하니 뿡개를 던져 좌정할 곳을 정하여 사람들의 교류를 금하고 제각기 다른 마...,신화,MYTH2.002,"본풀이,서귀본향당본푸리,수진포,서흥리,서귀본향당,해구무니,달구무니,뿡개,학담,김봉태,지산국,고산국,흥토나라,흥토천리,비오나라,비오천리,소남머리,금상황제부인,바람운,설매국,우알서귀",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래 | 가족·인간사 서사,신 | 동물 | 마을신 | 인간,산/오름 | 당/사당 | 한라산 권역,신성 | 경외 | 신비,장소 신성화 | 인물 전승 | 공동체 기억 | 기원 설명
C_M_039,선흘안판관제주판관본,legend,한라산,33.3616666,126.5291666,납읍리 | 선흘리 | 조천읍 | 한라산 | 가시리,선을안판관제주판관본은 조천읍 선흘리 안씨 댁의 조상신에 대한 내력을 담은 신화이다.,신화,MYTH2.003,"삼형제,큰굿,가시리,선흘리,납읍리,별장,고씨심방,부군,선흘안판관제주판관본,주걱,돌무더기,베남마를,제주판관,성내,이데기머들,가으니마를,소미,상안체,청만주에미,고동지,고첨지,안동",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 지명·지형 유래,신 | 심방 | 조상신,산/오름 | 한라산 권역,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 기원 설명
C_M_043,세화본향당 금상님본풀이,legend,세화리,33.4902403,126.8326492,세화리 | 성산읍 | 삼달리 | 구좌읍,세화본향당 금상님본풀이는 구좌읍 세화본향당에서 모시는 금상님의 내력을 담은 신화,신화,MYTH2.002,"본풀이,돼지고기,역적,서울,세화본향당,삼달리,세화리,돗제,남산,천기,구척장신,금상님본풀이,무쇠집,벡줏도,천하명장,어모장군",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승,신 | 마을신,당/사당 | 마을 | 산/오름,경외 | 신성 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_044,세화본향당 벡주또본풀이,legend,한라산,33.3616666,126.5291666,세화리 | 평대리 | 한라산 | 구좌읍,세화본향당 벡주또본풀이는 구좌읍 세화리 본향당에서 주신으로 모시는 벡주또의 내력 을 담은 신화이다. 벡주또는 어려서 부모에게 버림받자 용왕국으로 가서 주술을 익힌 뒤에 제주도로 가서 멍동소천국의 겁탈 시도를 물리치고...,신화,MYTH2.002,"본풀이,한라산,소,소천국,서울,세화본향당,평대리,날핏내,벡주또,천기,임정국,벡주또본풀이,갓마리,멍동소천국,명도칼,육신,신앙권,송당본향단본풀이,주술주머니,용왕천자국,서대문,천잣도",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래 | 가족·인간사 서사 | 해양·어촌 전승,신 | 마을신 | 왕/관원/선비 | 용왕/해신,산/오름 | 당/사당 | 한라산 권역 | 바다,경외 | 신성 | 신비,인물 전승 | 공동체 기억 | 기원 설명 | 장소 신성화
C_M_045,소(*)만이본풀이,legend,우도,33.5042977,126.954048,우도,사만이본풀이는 액막이의 근거로 내세우는 신화이다.,신화,MYTH2.001,"본풀이,부자,꿈,머리카락,사만이본풀이,사만이,품팔이,마세총,백년해골,정명,조실부모,머리카락거지,멩감본풀이,소사만이,주년국,사냥총",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 가족·인간사 서사,신,섬,신성 | 경외 | 신비,공동체 기억 | 인물 전승
