code_no,title,source_type,primary_place,lat,lng,all_places,summary_hint,narrative_type,core_topics,entities,spaces,moods,functions,tag_notes
C_M_013,C_M_013 금덕본향 검은댁잇당,legend,애월읍,33.4110784,126.3939276,애월읍,"금덕본향 검은댁잇당 본풀이는 애월읍 유수암리 검은덱이 마을의 본향당에 얽힌 신화이다. 홍좌수는 꿈에 본향신 송씨영감이 나타나 자신을 위하라는 말에 따라 당을 설립하고, 해변 사람들이 자신을 해치려고 할 때 역시 송씨...",,,,,,,
C_M_014,C_M_014 금악본향 오일당,legend,한라산,33.3616666,126.5291666,금악리 | 한라산 | 명월리 | 상명리 | 한림읍 | 저지리,금악본향 오일당 본풀이는 한림읍 금악리 오일당의 내력을 담은 신화이다. 최지국의 아들은 정좌수 따님을 보고 반하여 보자마자 달려들었으나 힘으로 제압 당하 는 굴욕을 당하였다. 하지만 정좌수 따님이 마음에 두고 있어 ...,,,,,,,
C_M_015,C_M_015 나주 기민창조상본풀이,legend,선흘리,33.4851252,126.7078377,선흘리 | 조천읍 | 조천리,나주 기민창조상본풀이는 조천읍 선흘리 안씨 집안에서 모시는 조상신의 내력을 담은 신화이다. 나주 제민창의 여신이 제주 사람을 따라와 그 집안의 조상신이 되는 한편 마을 사람들 의 생업을 돌보는 당신이 되었다.,,,,,,,
C_M_016,C_M_016 내왓당 천또마누라본풀이,legend,용담동,33.5088456,126.509989,용담동 | 제주시,"내왓당 천또마누라본풀이는 제주시 용담동 내왓당에서 모시던 천자또의 내력을 담은 신화이다. 송당본향당 벡주또와 소천국의 아들인 천자또는 무쇠상자에 담겨 버려지자 용왕황제국 사위가 되었으나, 너무 많이 먹은 탓에 쫓겨...",,,,,,,
C_M_017,C_M_017 널갯당 오일본향,legend,판포리,33.3583661,126.2127584,판포리 | 한경면,널갯당 오일본향 본풀이는 한경면 판포리 본향당의 내력을 담은 신화이다. 아내가 임신 중 돼지고기 금기를 어긴 것을 이유로 부부가 살림을 갈라 바람 위와 아래 따로 좌정하고 여신은 돼지고기를 받는 신이 된다.,,,,,,,
C_M_018,C_M_018 눈미 불돗당본풀이,legend,와산리,33.4802497,126.6843061,와산리 | 조천읍,눈미 불돗당본풀이는 조천읍 와산리 불돗당의 내력을 담은 신화이다.,,,,,,,
C_M_019,C_M_019 눈미 양씨아미본풀이,legend,와산리,33.4802497,126.6843061,와산리 | 조천읍,눈미 양씨아미본풀이는 조천읍 와산리 양씨 집안에서 조상신을 모시게 된 내력을 담은,,,,,,,
C_M_020,C_M_020 당나미문씨아기당본풀이,legend,한라산,33.3616666,126.5291666,표선면 | 정의현 | 한라산 | 가시리,당나미문씨아기당본풀이는 표선면 가시리 당나미문씨아기당의 내력을 담은 신화이다.,,,,,,,
C_M_021,C_M_021 도두본향 오름허릿당,legend,한라산,33.3616666,126.5291666,삼도동 | 도두동 | 한라산 | 제주시,도두본향 오름허릿당 본풀이는 제주시 도두동 도두오름에 있는 도두본향의 내력을 담은 신화이다. 한라산에서 태어난 삼형제 가운데 큰형이 부모에게 불효하여 쫓겨난 뒤에 도두오름으로 가서 송씨할마님과 혼인하여 당신이 되었는...,,,,,,,
C_M_022,C_M_022 동복본향당본풀이,legend,동복리,33.5359923,126.7190983,동복리 | 구좌읍,동복본향당본풀이는 구좌읍 동복리 본향당의 내력을 담은 신화이다. 굴묵밭 할망은 심방으로 살다가 죽어 저승으로 갔으나 이승에서 하던 일을 대신할 존재 가 없다는 이유로 다시 이승으로 돌아와 송악산에서 솟아나 상여화단을...,,,,,,,
C_M_023,C_M_023 동복본향당본풀이 1,legend,동복리,33.5359923,126.7190983,동복리 | 김녕리 | 구좌읍,동복본향당본풀이는 구좌읍 동복리 본향당의 내력을 담은 신화이다.,,,,,,,
C_M_024,C_M_024 두리빌렛당 두리빌레 용해부인 할마님,legend,김녕리,33.5389636,126.7494481,김녕리 | 제주시,"두리빌렛당 두리빌레 용해부인 할마님 본풀이는 제주시 내도동 바닷가에 있는 두리빌렛 당의 내력을 담은 신화이다. 백동지, 김동지는 사신을 제치한 이형상 목사를 무사히 바다 건너에 태워주고 귀향하던 중 파선의 위기를 만...",,,,,,,
C_M_026,C_M_026 마라도본향 애기씨,legend,마라도,33.1206371,126.2671204,대정읍 | 마라도,마라도본향 애기씨 본풀이는 마라동 아기업게당의 내력을 담은 신화이다.,,,,,,,
C_M_027,C_M_027 명월본향 축일당,legend,명월리,33.379419,126.2756824,명월리 | 한림읍,명월본향 축일당 본풀이는 한림읍 명월리 축일당의 내력을 담은 신화이다. 최주국 아들과 정좌수 따님이 혼인을 하여 낳은 자식들이 인근 여러 마을로 흩어져 당 신이 되었다.,,,,,,,
C_M_030,C_M_030 부대각본,legend,하도리,33.5163279,126.8833403,제주성 | 하도리 | 평대리 | 구좌읍,부대각본은 구좌읍 평대리 일대에서 부대각이라는 인물이 조상신으로 모셔지게 된 내력 을 담은 신화이다. 날개 달린 아기장수로 태어난 부대각은 장수의 위엄을 보였으나 집안 사람들의 방해로 능력을 펼치지 못하게 되자 스스...,,,,,,,
C_M_031,C_M_031 비매닛당 비매닛할망당,legend,애월읍,33.4110784,126.3939276,애월읍,"비매닛당 비매닛할망당 본풀이는 애월읍 어음1리 비매니 마을 할망당의 내력을 담은 신화이다. 비매닛할망은 목이 말라 돼지발자국에 고인 물을 마셨는데, 남편이 부정하다며 따로 좌 정하게 하였다.",,,,,,,
C_M_032,C_M_032 사계본향 큰물당,legend,한라산,33.3616666,126.5291666,사계리 | 한라산 | 안덕면,사계본향 큰물당본풀이는 안덕면 사계리 본향당인 큰물당의 내력을 담은 신화이다. 큰물당 하르방은 큰물에 논을 만들어 부자로 살다가 중을 만나 귀천을 깨닫고 주민들에 게 논을 나누어 주었다.,,,,,,,
C_M_034,C_M_034 삼달본향당본풀이,legend,삼달리,33.3854117,126.8354134,성산읍 | 삼달리,삼달본향당본풀이는 성산읍 삼달리 본향당의 내력을 담은 신화이다.,,,,,,,
C_M_037,C_M_037 상가본향 새당 할으방당,legend,애월읍,33.4110784,126.3939276,애월읍,상가본향 새당 할으방당 본풀이는 애월읍 상가리와 하가리에서 모시는 새당 할으방당의 내력을 담은 신화이다. 상가리 새당은 초록동이라는 사람이 산신백관을 인도하여 당신으로 좌정하게 하여 이루 어졌다.,,,,,,,
C_M_038,C_M_038 서귀본향당본푸리,legend,한라산,33.3616666,126.5291666,서귀포시 | 한라산,서귀본향당본푸리는 서귀포시 서귀・동홍본향당의 내력을 담은 신화이다. 바람운님이 고산국과 혼인하였다가 미모가 뛰어난 지산국과 사랑에 빠져 도망하니 뿡개를 던져 좌정할 곳을 정하여 사람들의 교류를 금하고 제각기 다른 마...,,,,,,,
C_M_039,C_M_039 선을안판관제주판관본,legend,한라산,33.3616666,126.5291666,납읍리 | 선흘리 | 조천읍 | 한라산 | 가시리,선을안판관제주판관본은 조천읍 선흘리 안씨 댁의 조상신에 대한 내력을 담은 신화이다.,,,,,,,
C_M_043,C_M_043 세화본향당 금상님본풀이,legend,세화리,33.4902403,126.8326492,세화리 | 성산읍 | 삼달리 | 구좌읍,세화본향당 금상님본풀이는 구좌읍 세화본향당에서 모시는 금상님의 내력을 담은 신화,,,,,,,
C_M_044,C_M_044 세화본향당 벡주또본풀이,legend,한라산,33.3616666,126.5291666,세화리 | 평대리 | 한라산 | 구좌읍,세화본향당 벡주또본풀이는 구좌읍 세화리 본향당에서 주신으로 모시는 벡주또의 내력 을 담은 신화이다. 벡주또는 어려서 부모에게 버림받자 용왕국으로 가서 주술을 익힌 뒤에 제주도로 가서 멍동소천국의 겁탈 시도를 물리치고...,,,,,,,
C_M_045,C_M_045 만이본풀이,legend,우도,33.5042977,126.954048,우도,사만이본풀이는 액막이의 근거로 내세우는 신화이다.,,,,,,,
C_M_046,C_M_046 손당본향 소천국광 백주할망,legend,한라산,33.3616666,126.5291666,한라산 | 송당리 | 구좌읍,"손당본향 소천국광 백주할망 본풀이는 구좌읍 송당리 본향당에서 모시는 백주할망과 소 천국의 내력을 담은 신화이다. 백주할망과 소천국은 소천국이 밭갈이하던 소를 잡아먹는 바람에 별거하게 되고, 그 아 들 송곡성은 아비를...",,,,,,,
C_M_047,C_M_047 솥할망본,legend,신풍리,33.3697855,126.8320995,표선면 | 성산읍 | 신풍리,솥할망본은 표선면 하천리 강씨 집안의 조상신 솥할망의 내력을 담은 신화이다. 바닷가에서 솥을 주워다가 솥으로 쓰려고 하였으나 아무리 불을 지펴도 물이 끓지 않아 고팡에 두었더니 꿈에 신이 나타나 자신을 조상으로 잘 ...,,,,,,,
C_M_048,C_M_048 시흥본향당본풀이,legend,시흥리,33.4693635,126.8824129,성산읍 | 시흥리 | 신흥리,시흥본향당본풀이는 성산읍 시흥리 본향당의 내력을 담은 신화이다.,,,,,,,
C_M_049,C_M_049 신천본향 선씨일월,legend,신천리,33.3506155,126.8524692,성산읍 | 조천읍 | 신천리 | 신촌리,신천본향 선씨일월 본풀이는 성산읍 신천리 본향당의 내력을 담은 신화이다. 현씨일월은 양반집 딸로 태어나 무병을 앓았으나 오라비들이 적극적으로 무업을 할 수 있게 도우려 하다가 파선하여 죽으니 현씨일월도 따라 죽고 말...,,,,,,,
C_M_050,C_M_050 알당(금성),legend,애월읍,33.4110784,126.3939276,애월읍,"알당본풀이는 애월읍 금성리 알당의 내력을 담은 신화이다. 금성리 김춘장이 다른 지방으로 장사를 다니다가 아기씨를 대우하여 덕을 보았는데, 제 주로 돌아올 때 아기씨가 함께 따라오기에 고방에 모시니 부자가 되었으며, ...",,,,,,,
C_M_051,C_M_051 양씨아미본풀이,legend,하례리,33.3252261,126.5961931,하례리 | 남원읍 | 신례리,양씨아미본풀이는 남원읍 신례리 양씨 집안의 조상신에 대한 내력을 담은 신화이다. 양씨아미는 신병을 앓다가 드디어 심방이 되어 본격적으로 굿을 하려고 할 때 무구를 구하러 가던 오라버니의 죽음을 알고 스스로 바다에 뛰...,,,,,,,
C_M_053,C_M_053 열리본향당본풀이,legend,사계리,33.2383758,126.3026575,사계리 | 화순리 | 서귀포시 | 예래동,열리본향당본풀이는 서귀포시 예래동 본향당에서 모시는 당신의 내력을 담은 신화이다. 하로하로산과 족다리대서부인의 일곱 딸이 장성하니 함께 살기 어려워져 인근 여러 마 을로 흩어져 이렛당신이 되었다.,,,,,,,
C_M_054,C_M_054 영감본,legend,한경면,33.3227575,126.2238176,한경면,영감본은 도깨비신의 내력을 담은 신화이다. 영감신은 서울 김치백의 아들로 태어나 행실이 나쁜 탓에 동네에서 쫓겨나 송영감 집에 머 물면서 부자가 되게 해주다가 송영감에게 내쳐지자 곳곳으로 흩어져 선앙으로 좌정하였다.,,,,,,,
C_M_055,C_M_055 영등당(한림),legend,한림읍,33.3764716,126.2852587,한림읍,영등당 본풀이는 한림읍 한림리 영등당의 내력을 담은 신화이다. 황영등은 외눈백이 섬에 잡혀온 어부들을 구해주고 영등굿으로 제향을 받는다.,,,,,,,
C_M_056,C_M_056 예촌보목효돈토평본향당본풀이,legend,하례리,33.3252261,126.5961931,효돈동 | 서귀포시 | 하례리 | 보목동 | 남원읍 | 신례리,"예촌보목효돈토평본향당본풀이는 남원읍 신례리・하례리, 보목동, 효돈동, 토평동 사람",,,,,,,
C_M_058,C_M_058 드렛당본풀이,legend,토산리,33.3249072,126.773206,표선면 | 토산리 | 가시리 | 온평리,드렛당본풀이는 표선면 토산리 여드렛당의 내력을 담은 신화이다. 토산 드레한집은 나주 금성산의 신이었는데 거처가 사라지자 바둑돌로 변하여 뱃사람 을 따라 제주로 들어와 처녀로 변신하여 토산에 당신으로 좌정하였다가 ...,,,,,,,
C_M_059,C_M_059 우렝이 김씨조상본풀이,legend,외도동,33.4827496,126.4404592,외도동 | 제주시,"우렝이 김씨조상본풀이는 제주시 외도동 우렝이 마을 김씨 집안 조상신의 내력을 담은 신화이다. 양반 집 자손으로 태어난 김씨 하르방은 멩두를 발견한 뒤로 신기가 있어 결국 큰심방 이 되었는데, 큰 가뭄이 들었을 때 용...",,,,,,,
C_M_060,C_M_060 우렝이 신씨조상본풀이,legend,가시리,33.3828211,126.7313785,가시리 | 외도동 | 제주시,"우렝이 신씨조상본풀이는 제주시 외도동 우렝이 마을 신씨 집안 조상신의 내력을 담은 신화이다. 신씨 집안의 조상은 본래 가난하였으나 부자인 홍씨 집안의 사위가 되어 잘 살게 되었 는데, 다시 가시리 강당장 따님과 연분...",,,,,,,
C_M_061,C_M_061 웃당본(토산),legend,한라산,33.3616666,126.5291666,표선면 | 한라산 | 마라도,"웃당본은 표선면 토산1리 토산본향당의 내력을 담은 신화이다. 름운님은 불효한 탓에 상자에 담겨 요왕황제국에 가서 신중부인과 혼인한 뒤 함께 돌 아와 토산에 좌정하는데, 신중부인이 돼지털 냄새 맡은 것을 부정하다 하...",,,,,,,
C_M_062,C_M_062 원당할망본,legend,신풍리,33.3697855,126.8320995,성산읍 | 신풍리,원당할망본은 양반의 소실이 되는 바람에 굿을 못하게 되자 자살하여 조상신이 된 내력 을 담은 신화이다. 원당할망은 제주 강씨형방이 서울 원당고을의 굿판에서 미모의 처녀를 데리고 왔으나 굿을 못하게 하자 처녀가 한을 ...,,,,,,,
C_M_065,C_M_065 월정본향당본풀이,legend,한라산,33.3616666,126.5291666,월정리 | 한라산 | 행원리 | 구좌읍,월정본향당본풀이는 구좌읍 월정리의 본향당에 얽힌 전승이다. 기자불공하여 태어난 황정승 따님이 구렁이로 변신한 탓에 무쇠상자에 담겨 버려지자 자신을 발견한 낚시꾼에게 조상신으로 대우받다가 다시 여자로 환생하여 배필을 ...,,,,,,,
C_M_068,C_M_068 자원당,legend,수원리,33.4309643,126.2681874,애월읍 | 수원리 | 한림읍,자원당본풀이는 애월읍 하가리에 있던 자원당의 내력을 담은 신화이다. 밭에서 김매던 사내가 비를 피하는 사이에 심심풀이로 흙으로 빚어 만든 동자석이 신령 이 있어 사람들로부터 인정을 받았다는 내용이다.,,,,,,,
C_M_069,C_M_069 저지본향 허릿궁할망,legend,판포리,33.3583661,126.2127584,판포리 | 명월리 | 한경면 | 상명리 | 고산리 | 한림읍 | 저지리,저지본향 허릿궁할망 본풀이는 한경면 저지리 오름허릿당의 내력을 담은 신화이다. 정좌수 따님이 홀로 임신한 탓에 집에서 쫓겨나 아이 일곱을 낳고 인근 여러 마을 당신 으로 좌정시켰다.,,,,,,,
C_M_071,C_M_071 진안할망,legend,수산리,33.4644603,126.3887347,성산읍 | 수산리,진안할망 본풀이는 성산읍 수산리 진안할망당의 내력을 담은 신화이다. 열세살 처녀를 희생한 결과 성담을 견고하게 쌓을 수 있었다는 내용이다.,,,,,,,
C_M_073,C_M_073 천지왕본,legend,표선리,33.324883,126.8245979,표선면 | 표선리,"천지왕본은 처음 인간 세상이 열릴 때, 해와 달 둘 가운데 하나씩을 떨어뜨린 내력을 담은 신화이다. 천지왕은 부친을 박대하여 제사도 모시지 않는 쉬맹이를 징치하기 위하여 바구왕을 찾 았다가 그의 딸 서수암이와 인연을...",,,,,,,
C_M_076,C_M_076 칠성본풀이,legend,함덕리,33.5307681,126.6673798,제주성 | 함덕리,"칠성본풀이는 뱀신이면서 부신(富神)의 기능을 하는 칠성의 내력을 담은 신화이다. 칠성아기는 일곱 살에 길을 잃었다가 중의 조화로 임신하여 부모에 의하여 무쇠상자에 담겨 바다에 버려지자, 제주에 이르러 일곱 아기와 함...",,,,,,,
C_M_077,C_M_077 토산일뤳당본풀이,legend,마라도,33.1206371,126.2671204,표선면 | 토산리 | 마라도,"토산일뤳당본풀이는 표선면 토산리 본향당의 내력을 담은 신화이다. 로못도가 부모에게 죄를 짓고 무쇠상자에 담겨 버려지자 용왕국에 가서 용왕 막내딸 을 작은부인으로 맞이하여 되돌아온 뒤에, 돼지털 냄새를 맡는 부정을 ...",,,,,,,
C_M_078,C_M_078 평대본향 신선당,legend,우도,33.5042977,126.954048,평대리 | 우도면 | 구좌읍 | 우도,평대본향 신선당 본풀이는 구좌읍 평대리의 본향당이었던 신선당의 내력을 담은 신화이다. 공주아미는 무쇠상자에 담겨 제주도에 이르러 신선또를 만나 혼인하여 딸 일곱을 낳았 으나 돼지고기를 먹는 바람에 살림을 갈랐다.,,,,,,,
C_M_079,C_M_079 피쟁이조상본 황정싱본,legend,삼도동,33.5120406,126.5215055,삼도동 | 제주시,피쟁이조상본 황정싱본은 백정 집안에서 조상신을 모시게 된 내력을 담은 신화이다. 황정승이 중병이 들어 소 아홉을 잡아먹어야 낫는데 두 아들이 반대하여 딸과 막내아들 이 몰래 소를 잡아 먹여 낫게 해 주었다.,,,,,,,
C_M_080,C_M_080 하도본향 삼싱당,legend,하도리,33.5163279,126.8833403,하도리 | 구좌읍,하도본향 삼싱당 본풀이는 구좌읍 하도리의 본향당인 삼싱당의 내력을 담은 신화이다. 도걸호 도집사가 할망과 함께 좌정하였다가 할망이 차린 조반에 티끌이 있는 것을 이유 로 살림을 갈라 도집사는 연두막에 좌정하고 할망은...,,,,,,,
C_M_081,C_M_081 함덕본향당본풀이,legend,함덕리,33.5307681,126.6673798,함덕리,함덕본향당본풀이는 함덕리 서물당의 내력을 담은 신화이다. 함덕리 김첨지가 낚시를 할 때마다 미륵돌이 걸려오더니 꿈에 신이 나타나 자신이 용왕 국 딸이라고 하고 자신을 모시면 잠수와 낚시배를 돌보아주겠다고 해서 당신으...,,,,,,,
C_M_082,C_M_082 해안본향 강구물동산당,legend,연동,33.4659777,126.4934011,연동 | 제주시 | 해안동,"해안본향 강구물동산당본풀이는 제주시 해안동의 본향당인 강구물동산당의 내력을 담은 신화이다. 천지왕의 아들 대별왕, 소별왕이 낟알을 맛본 죄로 인간에 귀양 당하여 당신으로 좌정 하였다.",,,,,,,
C_M_083,C_M_083 행원남당본풀이,legend,한라산,33.3616666,126.5291666,한라산 | 북촌리 | 행원리 | 구좌읍,행원남당본풀이는 구좌읍 행원리 남당의 내력을 담은 신화이다.,,,,,,,
C_M_084,C_M_084 호근이르 드렛당본풀이,legend,안덕면,33.2926011,126.3476551,안덕면,"호근이르 드렛당본풀이는 안덕면 감산리 여드렛당의 내력을 담은 신화이다. 이씨할망은 훈장의 딸로 태어나 오좌수를 만나 정분을 나누었으나, 첩이어서 설움을 받 다가 죽은 뒤에 당 올레에 묻혀 오씨 집안 사람들이 주로...",,,,,,,
C_M_085,C_M_085 화순본향 원당밭 일뢰중조,legend,사계리,33.2383758,126.3026575,사계리 | 화순리 | 색달리 | 안덕면,화순본향 원당밭 일뢰중조 본풀이는 안덕면 화순리의 원당밭에 좌정한 이렛당신의 내력,,,,,,,
T_M_001,T_M_001 각시당본풀이,legend,삼도동,33.5120406,126.5215055,삼도동,"옥황상제 막내딸이 부모의 명령을 거역하고 궁녀, 시녀들에게 물과 밥을 주지 않아 궁녀 시녀",,,,,,,
T_M_002,T_M_002 고내본향,legend,고내봉,33.4591265,126.3418004,고내봉,고내봉에서 전해 내려오는 고내본향 전설.,,,,,,,
T_M_003,T_M_003 고대장 본풀이,legend,한라산,33.3616666,126.5291666,제주성 | 납읍리 | 선흘리 | 건입동 | 정의현 | 대정현 | 한라산 | 무근성 | 명월리 | 용담동 | 어음리 | 화북동 | 항파두리 | 한림읍 | 제주시 | 고성리 | 남문통,한라산에서 전해 내려오는 고대장본풀이 전설.,,,,,,,
T_M_004,T_M_004 고도채비본(일도2),legend,제주시,33.5042779,126.519838,제주시,제주시에서 전해 내려오는 고도채비본(일도2) 전설.,,,,,,,
T_M_005,T_M_005 고성신양수산본향당본풀이,legend,한라산,33.3616666,126.5291666,한라산 | 종달리 | 송당리 | 수산리 | 온평리,한라산에서 전해 내려오는 고성신양수산본향당본풀이 전설.,,,,,,,
T_M_006,T_M_006 고전적본,legend,선흘리,33.4851252,126.7078377,봉개동 | 선흘리 | 덕천리 | 정의현 | 하례리 | 송당리 | 제주시,선흘리에서 전해 내려오는 고전적본 전설.,,,,,,,
T_M_007,T_M_007 곤물당본풀이,legend,화순리,33.252712,126.3343265,화순리 | 안덕면,화순리에서 전해 내려오는 곤물당본풀이 전설.,,,,,,,
T_M_008,T_M_008 광정당본풀이,legend,성읍리,33.407816,126.7828957,성읍리 | 표선면 | 이도동 | 제주시 | 고성리,성읍리에서 전해 내려오는 광정당본풀이 전설.,,,,,,,
T_M_010,T_M_010 구실할망본풀이,legend,조천리,33.5267388,126.6435672,조천리 | 신촌리 | 제주시,"옛날 신촌 큰물머리에 김동지영감이 살았었는데, 그때는 김동지영감이라 않고 신촌 큰물머리 김씨사공이라 합디다. 제주 관원에서 우리 제주 특산물을 진상할 때, 김씨사공이 산에서 나는 버섯, 바다에서 나는 우무 청각 미역...",,,,,,,
T_M_011,T_M_011 궤눼깃당본풀이,legend,한라산,33.3616666,126.5291666,세화리 | 선흘리 | 덕천리 | 평대리 | 동복리 | 김녕리 | 한라산 | 종달리 | 송당리 | 구좌읍 | 우도,"가운데 쪽에 좌정한 소천국은 알송당 고부니마루에서 솟아나고, 백주또마누라는 강남천자국 백 모래밭에서 솟아납디다. 인간 세상에 탄생하여 천기를 짚어 떠 보니 천상베필 될 짝이 조선국 제 주도 송당리에 탄생하여 사는 듯...",,,,,,,
T_M_013,T_M_013 금덕본향 검은댁잇당(유수암),legend,제주목,33.5042779,126.519838,제주목,제주목에서 전해 내려오는 검은댁잇당(유수암) 전설.,,,,,,,
T_M_014,T_M_014 금악본향 오일당,legend,금악리,33.3515554,126.3162828,금악리 | 명월리 | 한림읍,금악리에서 전해 내려오는 오일당 전설.,,,,,,,
T_M_015,T_M_015 나주 기민창조상본풀이,legend,납읍리,33.4284054,126.3417831,제주성 | 납읍리 | 선흘리 | 제주목 | 조천리 | 어음리,"옛날 순흥에서 삼형제가 제주에 왔을 때, 사냥을 하면서 다니는 것이 큰형님은 어음리에, 둘째 형님은 납읍리에, 작은 동생은 선흘리에 정착하여 자손들이 벌어집디다. 옛날 신좌면 조천관에 안씨 선주가 삽디다. 안씨선주는...",,,,,,,
T_M_016,T_M_016 내왓당 천또마누라 본풀이,legend,송당리,33.4564636,126.7691579,송당리,"윗송당의 당신 금백주와 셋송당의 당신 세명주, 알송당의 당신 소로소천국은 아들이 열여덟, 딸이 스물여덟, 손자는 삼백일흔 여덟입니다. 소천국은 절해고도인 제주에서 태어나고, 소천국의 아내인 백주 또는 강남천자국 백모...",,,,,,,
T_M_017,T_M_017 널갯당 오일본향(판포),legend,한경면,33.3227575,126.2238176,한경면,한경면에서 전해 내려오는 오일본향(판포) 전설.,,,,,,,
T_M_018,T_M_018 눈미 불돗당 본풀이,legend,와산리,33.4802497,126.6843061,와산리,"와산리 윗당의 당신은 불도삼승또입니다. 옥황상제 막내딸아기가 부모의 말씀에 거역하니, “인간에 귀양정배 보내라.” 귀양정배를 보내니, 딸아기는 노각성자부줄로 와산 당오름 꼭대기에 내려와 있습디다. 그때 와산에 사는 ...",,,,,,,
T_M_019,T_M_019 눈미 양씨아미본풀이,legend,한라산,33.3616666,126.5291666,와산리 | 조천읍 | 한라산 | 용담동 | 제주시,한라산에서 전해 내려오는 양씨아미본풀이 전설.,,,,,,,
T_M_020,T_M_020 당나미문씨아기당본풀이,legend,한라산,33.3616666,126.5291666,성읍리 | 표선면 | 한라산 | 가시리,"한라산에서 전해 내려오는 당나미문씨아기당본풀이(가시,한백) 전설.",,,,,,,
T_M_021,T_M_021 도두본향 오름허릿당,legend,삼도동,33.5120406,126.5215055,삼도동 | 제주시,삼도동에서 전해 내려오는 오름허릿당 전설.,,,,,,,
